SCIENTIFIC_NAME,FAMILY,SUB_SPECIES,Synonym,AUTHOR,ENGLISH_COMMON_NAME,Growth_form,GBIF_record_number,ROM__record_number,Combined_abund_scaled,S_RANK,COSEWIC_STATUS,G_RANK,EXOTIC_NATIVE,EXOTIC_RANK,Cultivated,Year_first_record_exotic
Anchusa azurea,Boraginaceae,,,Mill.,Italian Bugloss,Herbaceous,NA,1,3,SNA,,GNA,E,SE1,,1952
Andromeda polifolia,Ericaceae,glaucophylla,,L.,Bog Rosemary,Shrub,NA,NA,NA,S5,,G5,N,,,NA
Andropogon gerardii,Poaceae,,,Vitman,Big Bluestem,Graminoid,18,12,19,S4,,G5,N,,,NA
Anemonastrum canadense,Ranunculaceae,,,(Linnaeus) Mosyakin,Canada Anemone,Herbaceous,48,NA,23,S5,,G5,N,,,NA
Anemone americana,Ranunculaceae,,Hepatica americana,(DC.) Ker-Gawl.,Round-lobed Hepatica,Herbaceous,NA,NA,NA,S5,,G5,N,,,NA
Anemone blanda,Ranunculaceae,,,Schott & Kotschy,Greek Anemone,Herbaceous,1,NA,1,SNA,,GNA,E,SE1,,NA
Anemone canadensis,Ranunculaceae,,,L.,Canada anemone,Herbaceous,NA,33,81,S?,,G?,N,,,NA
Anemone cylindrica,Ranunculaceae,,,Gray,Long-headed Anemone,Herbaceous,4,13,17,S4,,G5,N,,,NA
Anemone hepatica,Ranunculaceae,,Hepatica acutiloba,L.,Sharp-lobed Hepatica,Herbaceous,NA,18,44,S5,,G5,N,,,NA
Anemone nemorosa,Ranunculaceae,,,L.,Wood anemone,Herbaceous,NA,1,3,SNA,,GNA,E,SE?,y,1920
Anemone parviflora,Ranunculaceae,,,Michx.,Small-flowered Anemone,Herbaceous,NA,2,5,S4,,G5,N,,,NA
Anemone quinquefolia,Ranunculaceae,,,L.,Wood Anemone,Herbaceous,32,30,44,S5,,G5,N,,,NA
Anemone virginiana,Ranunculaceae,,,L.,Tall Anemone,Herbaceous,14,8,14,S5,,G5,N,,,NA
Anethum graveolens,Apiaceae,,,L.,Dill,Herbaceous,1,NA,1,SNA,,GNA,E,SE1,,NA
Angelica atropurpurea,Apiaceae,,,L.,Purple-stemmed Angelica,Herbaceous,8,5,8,S5,,G5,N,,,NA
Angelica sylvestris,Apiaceae,,,L.,Woodland Angelica,Herbaceous,4,NA,2,SNA,,G5,E,SE1,,NA
Antennaria howellii,Asteraceae,Petaloidea,,Greene,Howell's Pussytoes,Herbaceous,NA,NA,NA,S5,,G5,N,,,NA
Antennaria howellii,Asteraceae,,,Greene,Howell's Pussytoes,Herbaceous,NA,NA,NA,S5,,G5,N,,,NA
Antennaria howellii,Asteraceae,Neodioica,,Greene,Howell's Pussytoes,Herbaceous,NA,NA,NA,S5,,G5,N,,,NA
Antennaria neglecta,Asteraceae,,,Greene,Field Pussytoes,Herbaceous,6,9,13,S5,,G5,N,,,NA
Antennaria parlinii,Asteraceae,fallax,,Fern.,Parlin's Pussytoes,Herbaceous,4,6,9,S5,,G5,N,,,NA
Antennaria plantaginifolia,Asteraceae,,,(L.) Richardson,plantain leaf pussytoes,Herbaceous,1,NA,1,S?,,G?,N,,,NA
Antennaria pulcherrima,Asteraceae,,,(Hook.) Greene,Showy Pussytoes,Herbaceous,1,NA,1,S5,,G5,N,,,NA
Anthemis arvensis,Asteraceae,,,L.,Corn Chamomile,Herbaceous,NA,2,5,SNA,,GNA,E,SE5,,1929
Anthemis cotula,Asteraceae,,,L.,Stinking Chamomile,Herbaceous,13,20,28,SNA,,G5,E,SE5,,NA
Anthriscus sylvestris,Apiaceae,,,(L.) Hoffmann,Wild Chervil,Herbaceous,6,3,6,SNA,,GNA,E,SE4,,1973
Anticlea elegans,Melanthiaceae,glaucus,,(Nutt.) Zomlefer & Judd,Mountain Death Camas,Herbaceous,NA,2,5,S4,,G5,N,,,NA
Antirrhinum majus,Plantaginaceae,,,L.,Garden Snapdragon,Herbaceous,1,NA,1,SNA,,GNA,E,SEX,,NA
Aphyllon uniflorum,Orobanchaceae,,,(L.) Torr. &amp; A. Gray,One-flowered Broomrape,Herbaceous,2,NA,1,S4,,G5,N,,,NA
Apios americana,Fabaceae,,,Medik.,American Groundnut,Herbaceous,13,21,29,S5,,G5,N,,,NA
Apocynum androsaemifolium,Apocynaceae,,,L.,Spreading Dogbane,Herbaceous,22,15,24,S5,,G5,N,,,NA
Apocynum cannabinum,Apocynaceae,,Apocynum sibiricum,L.,Hemp Dogbane,Herbaceous,19,29,40,S5,,G5,N,,,NA
Aquilegia canadensis,Ranunculaceae,,,L.,Red Columbine,Herbaceous,33,19,31,S5,,G5,N,,,NA
